general_author_id,"general_test_language,",general_cefr,general_task,general_mother_tongue,general_age,general_gender,rating_overall_cefr_rating,rating_grammatical_accuracy,rating_orthography,rating_vocabulary_range,rating_vocabulary_control,rating_coherence_cohesion,rating_sociolinguistic_appropriateness,txt_len_in_char,EINFACH,ART,PREP,EIGENNAMEN,REDEWENDUNGEN,EINFACH_NICHT,ART_NICHT,PREP_NICHT,GESAMT_UNBEKANNT,GESAMT_WAHR,GESAMT_FALSCH
1031_0003170,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,23,female,B2,B1,C1,B2,B2,B2,B2,1334,0,19,0,1,0,7,0,0,5,20,7
1031_0003133,German,C1,reporting about the housing situation - ID 1031_050300,English,33,female,C1,C1,C1,C1,C1,C1,C1,1320,0,19,0,5,0,6,0,0,4,24,6
1071_0024802,German,A1,ask friend for help for finding apartment - ID 1071_020200,English,18,female,A2,B1,B1,B1,A2,A2,A2,405,0,9,0,1,0,0,0,0,5,10,0
1071_0024816,German,A1,arrange appointment with friend to go swimming together - ID 1071_120302,French,27,male,A2,A2,A2,A2,A2,A2,A2,209,0,2,0,1,0,6,0,0,0,3,6
1023_0101851,German,B2,apply for internship in sales department - ID 1023_120301,English,37,female,B2,B2,B2,B2,B2,B1,B2,1165,0,19,0,3,1,13,0,0,4,23,13
1031_0002199,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,33,female,B2,B2,C1,C1,C1,B2,C1,1404,0,15,0,6,0,10,0,0,15,21,10
1031_0003132,German,C1,essay about why it's of value to learn German - ID 1031_010300,English,30,female,B2,B2,B2,C1,C1,C1,B2,1380,0,23,0,3,0,8,0,0,7,26,8
1061_0120283,German,B1,write a letter to a friend (visit) - ID 1061_130101,English,49,female,A2,A1,A2,A2,A2,A1,A2,260,0,1,0,3,0,4,0,0,2,4,4
1023_0108888,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,French,27,female,B2,B2,B2,B2,B1,B2,B2,1392,0,19,0,5,0,17,0,0,7,24,17
1071_0024814,German,A1,arrange appointment with friend to go swimming together - ID 1071_120302,English,33,female,A2,A2,A2,A2,A2,A2,A1,266,0,4,0,3,0,3,0,0,0,7,3
1023_0101895,German,B2,apply for internship in sales department - ID 1023_120301,French,31,female,B2,C1,B2,B2,B2,C1,B2,1245,0,10,0,2,1,20,0,0,12,13,20
1031_0003136,German,C1,reporting about the housing situation - ID 1031_050300,French,32,male,C1,B2,C1,C1,B2,C1,B2,1682,0,22,0,7,0,11,0,0,5,29,11
1023_0109401,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,English,39,male,B2,B1,B2,B2,B2,B2,B2,1006,0,11,0,2,1,13,0,0,8,14,13
1023_0109951,German,B2,ask for information at Au pair Agency - ID 1023_080401,English,27,female,B1,B1,B2,B2,B2,B1,B2,1504,0,19,0,4,1,16,0,0,6,24,16
1023_0101841,German,B2,apply for internship in sales department - ID 1023_120301,English,32,female,B1,B1,B2,B2,B2,B1,B2,1440,0,21,0,3,1,25,0,0,7,25,25
1071_0024691,German,A1,ask friend for help for finding apartment - ID 1071_020200,French,37,female,A2,A2,B1,B1,A2,A2,B1,703,0,10,0,4,0,2,0,0,3,14,2
1023_0109880,German,B2,ask for information at Au pair Agency - ID 1023_080401,French,29,female,B2,B2,C1,C1,B2,B2,B2,1172,0,13,0,6,1,15,0,0,6,20,15
1023_0108752,German,B2,Au pair writes letter of complaint to Agency - ID 1023_100303,French,37,male,B2,B2,C2,B2,B2,B2,C1,1612,0,23,0,2,1,12,0,0,20,26,12
1061_0120343,German,B1,write a letter to a friend (visit) - ID 1061_130101,French,23,female,B1,B1,B2,B1,B1,B1,B2,581,0,6,0,1,1,5,0,0,5,8,5
1031_0003023,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,19,female,B2,B2,B2,C1,C1,B2,B2,2004,0,23,0,4,0,11,0,0,14,27,11
1031_0001998,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,French,32,female,C1,C1,C1,C1,C1,C1,C1,1122,0,16,0,3,0,4,0,0,6,19,4
1031_0003155,German,C1,write article about sticking to one's traditions and 'assimilation' in a new environment - ID 1031_030301,English,43,female,B2,B2,B2,C1,B2,B2,B2,1234,0,22,0,3,0,9,0,0,12,25,9
1031_0003357,German,C1,reporting about the housing situation - ID 1031_050300,English,48,female,B2,B2,B2,C1,B2,B2,B2,1503,0,27,0,2,0,16,0,0,11,29,16
1031_0003356,German,C1,reporting about the housing situation - ID 1031_050300,English,17,male,B2,B2,C1,B2,B2,B2,B2,1239,0,19,0,6,0,15,0,0,8,25,15
